"year","GEOID","county","comID","comName"
2010,"06001451201","Alameda","1.1","Livermore Central and West/Spring Town"
2010,"06001451202","Alameda","1.1","Livermore Central and West/Spring Town"
2010,"06001451300","Alameda","1.1","Livermore Central and West/Spring Town"
2010,"06001451401","Alameda","1.1","Livermore Central and West/Spring Town"
2010,"06001451403","Alameda","1.1","Livermore Central and West/Spring Town"
2010,"06001451404","Alameda","1.1","Livermore Central and West/Spring Town"
2010,"06001451601","Alameda","1.1","Livermore Central and West/Spring Town"
2010,"06001451602","Alameda","1.1","Livermore Central and West/Spring Town"
2010,"06001451701","Alameda","1.1","Livermore Central and West/Spring Town"
2010,"06001451703","Alameda","1.1","Livermore Central and West/Spring Town"
2010,"06001451704","Alameda","1.1","Livermore Central and West/Spring Town"
2010,"06001450701","Alameda","1.2","Altamont/Livermore East/Midway/Mountain House/Scotts Corner"
2010,"06001451101","Alameda","1.2","Altamont/Livermore East/Midway/Mountain House/Scotts Corner"
2010,"06001451102","Alameda","1.2","Altamont/Livermore East/Midway/Mountain House/Scotts Corner"
2010,"06001451501","Alameda","1.2","Altamont/Livermore East/Midway/Mountain House/Scotts Corner"
2010,"06001451503","Alameda","1.2","Altamont/Livermore East/Midway/Mountain House/Scotts Corner"
2010,"06001451504","Alameda","1.2","Altamont/Livermore East/Midway/Mountain House/Scotts Corner"
2010,"06001451505","Alameda","1.2","Altamont/Livermore East/Midway/Mountain House/Scotts Corner"
2010,"06001451506","Alameda","1.2","Altamont/Livermore East/Midway/Mountain House/Scotts Corner"
2010,"06001400700","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001400800","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001400900","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001420300","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001420400","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001422000","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001422100","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001422400","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001422500","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001422700","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001422800","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001422900","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001423200","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001423300","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001423400","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001423500","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001423602","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001423700","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001423901","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001424001","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001424002","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001425101","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001425102","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001425103","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001425104","Alameda","2a","Berkeley South and West/Emeryville/Oakland Northwest"
2010,"06001400100","Alameda","2b","Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks"
2010,"06001400200","Alameda","2b","Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks"
2010,"06001400300","Alameda","2b","Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks"
2010,"06001400400","Alameda","2b","Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks"
2010,"06001400500","Alameda","2b","Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks"
2010,"06001400600","Alameda","2b","Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks"
2010,"06001401100","Alameda","2b","Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks"
2010,"06001401200","Alameda","2b","Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks"
