measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
3,YLDs (Years Lived with Disability),527,California,1,Male,22,All ages,294,All causes,82,"Unsafe water, sanitation, and handwashing",1,Number,2009,1267.7513385311192,2179.3984646420136,665.4682684002539
3,YLDs (Years Lived with Disability),527,California,2,Female,22,All ages,294,All causes,82,"Unsafe water, sanitation, and handwashing",1,Number,2009,1443.914425909172,2378.5480568389753,752.0899863663531
3,YLDs (Years Lived with Disability),527,California,3,Both,22,All ages,294,All causes,82,"Unsafe water, sanitation, and handwashing",1,Number,2009,2711.665764440294,4552.853814492002,1410.0020253510133
3,YLDs (Years Lived with Disability),527,California,1,Male,22,All ages,294,All causes,82,"Unsafe water, sanitation, and handwashing",2,Percent,2009,0.0005759577733153804,0.0008943279263200251,0.00034037862750289265
3,YLDs (Years Lived with Disability),527,California,2,Female,22,All ages,294,All causes,82,"Unsafe water, sanitation, and handwashing",2,Percent,2009,0.0005312088067399848,0.0008046828768237452,0.0003090772340194258
3,YLDs (Years Lived with Disability),527,California,3,Both,22,All ages,294,All causes,82,"Unsafe water, sanitation, and handwashing",2,Percent,2009,0.0005511726229453523,0.0008478859363788556,0.0003253150035579731
3,YLDs (Years Lived with Disability),527,California,1,Male,22,All ages,294,All causes,82,"Unsafe water, sanitation, and handwashing",3,Rate,2009,6.899892973078718,11.861644862584312,3.6218931026820456
3,YLDs (Years Lived with Disability),527,California,2,Female,22,All ages,294,All causes,82,"Unsafe water, sanitation, and handwashing",3,Rate,2009,7.785417812950163,12.824853106521282,4.055181298650151
3,YLDs (Years Lived with Disability),527,California,3,Both,22,All ages,294,All causes,82,"Unsafe water, sanitation, and handwashing",3,Rate,2009,7.34472893895228,12.331710494940337,3.819085233653238
3,YLDs (Years Lived with Disability),527,California,1,Male,22,All ages,294,All causes,85,Air pollution,1,Number,2009,18453.63997541475,27760.37122334761,11125.01097480069
3,YLDs (Years Lived with Disability),527,California,2,Female,22,All ages,294,All causes,85,Air pollution,1,Number,2009,18835.98227104249,28104.991235830646,11579.563859934051
3,YLDs (Years Lived with Disability),527,California,3,Both,22,All ages,294,All causes,85,Air pollution,1,Number,2009,37289.6222464572,55867.905718583745,22616.133753959377
3,YLDs (Years Lived with Disability),527,California,1,Male,22,All ages,294,All causes,85,Air pollution,2,Percent,2009,0.008439075211668475,0.011831809625715369,0.005594022637354721
3,YLDs (Years Lived with Disability),527,California,2,Female,22,All ages,294,All causes,85,Air pollution,2,Percent,2009,0.006980663613146258,0.009768385938365478,0.004613821264314453
3,YLDs (Years Lived with Disability),527,California,3,Both,22,All ages,294,All causes,85,Air pollution,2,Percent,2009,0.0076325993155017206,0.01068132910787834,0.0050902234572055265
3,YLDs (Years Lived with Disability),527,California,1,Male,22,All ages,294,All causes,85,Air pollution,3,Rate,2009,100.4362108910239,151.08924322333243,60.54924393879229
3,YLDs (Years Lived with Disability),527,California,2,Female,22,All ages,294,All causes,85,Air pollution,3,Rate,2009,101.56141476670314,151.53882769920324,62.43565485853473
3,YLDs (Years Lived with Disability),527,California,3,Both,22,All ages,294,All causes,85,Air pollution,3,Rate,2009,101.00144760749477,151.32197679776976,61.25731801028487
3,YLDs (Years Lived with Disability),527,California,1,Male,22,All ages,294,All causes,89,Other environmental risks,1,Number,2009,5677.366906673928,9010.257082426455,2989.1425192697825
3,YLDs (Years Lived with Disability),527,California,2,Female,22,All ages,294,All causes,89,Other environmental risks,1,Number,2009,4412.221038577762,7267.274366431065,1989.7858633791159
3,YLDs (Years Lived with Disability),527,California,3,Both,22,All ages,294,All causes,89,Other environmental risks,1,Number,2009,10089.587945251697,16211.571129340919,5028.0918579724885
3,YLDs (Years Lived with Disability),527,California,1,Male,22,All ages,294,All causes,89,Other environmental risks,2,Percent,2009,0.002589448503740357,0.003785382054411827,0.0014739326716283543
