county,comName,Ndeaths 2008-2012,Ndeaths 2013-2017,Rate 2008-2012,Rate 2013-2017,Percent Change,pValue,comID,est_edu,moe_edu,est_net,moe_net,est_pov,moe_pov,est_rent30up,moe_rent30up,est_rent50up,moe_rent50up,region,POP,geoLev,hpi2score,insured,inpreschool,bachelorsed,parkaccess,houserepair,pop,myGroup,lessThanBachelors,myLabel,hRank,top15,pov30plus
Alameda,Alameda/Jack London Square/Oakland Inner Harbor,14,8,3.905,2.341,-40.051216389244544,0.12682205956288306,2e,47.52,2.12,84.62,2.17,13.63,1.46,44.95,3.68,19.64,2.16,BAY AREA,68365,Communuity,0.37040667560115553,85.3751729686243,68.36871791121189,46.54954435749287,94.64638355518174,97.72601993510217,68365,3 Same,52.48,Alameda Alameda/Jack London Square/Oakland Inner Harbor,354,notTot15,notHighPov
Alameda,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,11,15,2.207,2.767,25.373810602628005,0.28909008947798875,2b,75.93,1.89,91.79,1.29,7.88,0.67,40.76,2.72,19.92,1.77,BAY AREA,106281,Communuity,0.9221891496117086,91.95629792719302,72.18771765414327,73.58592975226051,89.58421565886658,98.04921335197919,106281,3 Same,24.069999999999993,Alameda Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,326,notTot15,notHighPov
Alameda,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,NA,1,NA,0.5894,NA,NA,1.2,48.64,2.86,90.97,2.7,4.44,1.26,45.1,9.91,15.07,5.68,BAY AREA,37479,Communuity,0.6859767554337096,92.92755676512179,66.51694282131326,48.41218549054137,74.76720355745884,99.39218615778462,37479,NA,51.36,Alameda Altamont/Livermore East/Midway/Mountain House/Scotts Corner,485,notTot15,notHighPov
Alameda,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East,78,76,13.79,12.7,-7.904278462654097,0.30714720458438494,2h,23.49,1.36,80.55,1.72,16.86,1.54,53.83,3.54,27.17,2.15,BAY AREA,109373,Communuity,-0.10388378096105072,80.32678997558813,42.290051475226974,21.596924286615526,92.24305828623153,98.82517814580609,109373,3 Same,76.51,Alameda Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East,45,notTot15,notHighPov
Alameda,Berkeley South and West/Emeryville/Oakland Northwest,37,21,7.464,2.648,-64.52304394426582,5.82268919594453e-4,2a,62.99,2.51,85.56,1.91,24.14,1.93,54.05,3.03,32.94,2.21,BAY AREA,90205,Communuity,0.2520661910418269,80.73722077490162,68.09854952607948,57.813779723962085,88.23014272080262,89.77477963697433,90205,2 Decrease,37.01,Alameda Berkeley South and West/Emeryville/Oakland Northwest,332,notTot15,notHighPov
Alameda,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,21,18,4.131,3.382,-18.13120309852336,0.2704400595634956,2f,43.92,1.75,90.29,1.42,7.19,0.93,51.27,5.21,25.78,3.2,BAY AREA,104008,Communuity,0.5511019829272941,89.51234424275056,60.46164814245058,41.98927774786555,85.10403040660334,99.24931644122124,104008,3 Same,56.08,Alameda Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,287,notTot15,notHighPov
Alameda,Centerville/Fremont West/Irvington/Newark East Central,24,16,5.444,3.501,-35.690668626010286,0.08708255510716434,2j,41.01,1.83,88.72,1.72,6.58,0.86,45.75,4.15,19.54,2.37,BAY AREA,88613,Communuity,0.35864286104758897,86.96485165833457,49.996704772437454,38.731930980781605,82.4416284026046,98.71598667555179,88613,3 Same,58.99,Alameda Centerville/Fremont West/Irvington/Newark East Central,278,notTot15,notHighPov
Alameda,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,57,45,10.88,7.905,-27.343750000000004,0.061780466211054264,2m,58.28,1.77,87.02,1.5,9.27,0.97,45.97,3.3,20.26,2.07,BAY AREA,114925,Communuity,0.626943317869367,88.97419012399392,74.56762775723297,57.214554709593216,96.90580848370676,98.9489726820924,114925,3 Same,41.72,Alameda Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,96,notTot15,notHighPov
Alameda,Dublin/Pleasanton/Santa Rita/Sunol,6,8,1.179,1.368,16.030534351145043,0.39339688421573626,2k,61.1,1.74,93.75,1.48,3.94,0.6,42.24,3.98,19.19,2.56,BAY AREA,110918,Communuity,0.7340282072760147,85.17212625543195,59.157853549468975,51.884859986656814,77.38599679709334,90.76613985958375,110918,3 Same,38.9,Alameda Dublin/Pleasanton/Santa Rita/Sunol,427,notTot15,notHighPov
Alameda,Fremont East/Niles/Union City Central,16,15,2.958,2.336,-21.027721433400956,0.25994977469078373,2l,52.08,1.75,91.8,1.36,5.3,0.67,38.46,4.22,15.25,2.29,BAY AREA,114423,Communuity,0.6469050772572648,91.86913382798913,60.621960619805456,49.76115116716045,95.58392949975092,99.52250860515237,114423,3 Same,47.92,Alameda Fremont East/Niles/Union City Central,355,notTot15,notHighPov
Alameda,Fremont South/Mission San Jose/Newark South/Warm Springs,12,7,2.947,1.294,-56.09093993892094,0.048456020839337866,2i,54.41,1.85,93.28,1.37,3.88,0.62,36.14,4.91,12.46,2.32,BAY AREA,89681,Communuity,0.6504750480345669,91.55598844794326,62.29825046553897,51.85694851752322,86.54898997636066,99.74342352707743,89681,2 Decrease,45.59,Alameda Fremont South/Mission San Jose/Newark South/Warm Springs,437,notTot15,notHighPov
Alameda,Fruitvale/Melrose/Oakland Airport,199,149,28.85,21.34,-26.031195840554595,0.0027838367809095432,2d,22.18,1.15,71.8,1.77,23.13,1.62,59.93,3.46,32.89,2.23,BAY AREA,127854,Communuity,-0.30171463394097175,74.50896882381466,49.03674269088179,19.81859777558778,96.29186375678508,98.14454619173549,127854,2 Decrease,77.82,Alameda Fruitvale/Melrose/Oakland Airport,8,top15,notHighPov
Alameda,Hayward Central,63,41,9.967,6.73,-32.47717467643222,0.025356004851273317,2n,22.43,1.19,83.46,1.58,10.49,1.17,53.16,3.77,22.97,2.17,BAY AREA,114615,Communuity,-8.072610853029677e-4,79.32263490817084,43.51858133752127,20.92698163416656,99.13885621000742,98.75738444982444,114615,2 Decrease,77.57,Alameda Hayward Central,133,notTot15,notHighPov
Alameda,Livermore Central and West/Spring Town,4,3,1.572,1.05,-33.20610687022901,0.30064311681459677,1.1,40.49,2.32,90.58,2.27,5.4,1.1,52.65,7.45,26.1,4.75,BAY AREA,53720,Communuity,0.4992638991159903,89.27770848845867,51.19691176470588,38.69921444527178,97.33991038086373,99.63083014787415,53720,3 Same,59.51,Alameda Livermore Central and West/Spring Town,460,notTot15,notHighPov
Alameda,Oakland West Central,99,66,22.76,14.83,-34.84182776801406,0.0039336695421618995,2c,33.63,1.52,73.77,1.66,25.56,1.42,50.47,2.59,27.83,1.68,BAY AREA,83934,Communuity,-0.23756495371093952,75.4262718326304,58.47720280220173,28.09383920699597,96.40550914408941,94.20410548070495,83934,2 Decrease,66.37,Alameda Oakland West Central,32,notTot15,notHighPov
Alameda,San Leandro West/San Lorenzo West/Hayward West,29,22,5.991,4.312,-28.025371390418954,0.12457455178524979,2g,26.05,1.48,84.63,1.8,9.7,1.3,47.71,5.33,21.55,3.3,BAY AREA,95877,Communuity,0.20204735479760527,85.02645159944512,48.39468589964225,24.819391512041467,92.19103594219676,99.55562456178353,95877,3 Same,73.95,Alameda San Leandro West/San Lorenzo West/Hayward West,240,notTot15,notHighPov
Amador,Ione/Jackson/Pine Grove/Sutter Creek,4,7,2.54,5.976,135.2755905511811,0.09831428470669845,4,21.87,2.48,82.3,5.7,10.82,2.66,54.38,12.69,28.67,7.73,GOLD COUNTRY,27645,Communuity,0.029360537985928734,68.69328630855489,45.59071441490324,18.624648218484356,29.31090652125158,77.76615254309894,27645,3 Same,78.13,Amador Ione/Jackson/Pine Grove/Sutter Creek,159,notTot15,notHighPov
Amador,Pioneer,1,1,2.954,8.832,198.98442789438047,0.2639657760782993,6,21.66,4.67,78.71,9.24,11.96,4.8,67.26,35.33,47.2,29.63,GOLD COUNTRY,5774,Communuity,-0.005597010507966745,84.13008313127814,0,22.019726359542776,39.62590752857638,100,5774,3 Same,78.34,Amador Pioneer,78,notTot15,notHighPov
Amador,Plymouth,1,1,3.218,6.505,102.1441889372281,0.3253053211356284,5,23.95,7.18,70.14,12.19,7.88,4.36,37.91,21.33,11.7,10.76,GOLD COUNTRY,4672,Communuity,0.100280359,90.1,37.5,23.5,35.74486,97.96954315,4672,3 Same,76.05,Amador Plymouth,140,notTot15,notHighPov
Butte,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,5,2,16.29,5.759,-64.64702271332105,0.11918194412047489,11,16.97,4.21,70.48,8.52,22.61,5.86,48.16,21.77,25.35,12.77,SIERRA CASCADE,5157,Communuity,-0.575516074,64.6,24,15.8,58.153969999999994,96.13636364,5157,3 Same,83.03,Butte Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,164,notTot15,notHighPov
Butte,Capay/Lake/Nord,1,1,6.091,4.176,-31.439829256279754,0.39769920578402096,7.2,36.87,7.04,87.81,9.79,6.54,3.43,51.76,35.95,16.47,16.52,SIERRA CASCADE,5797,Communuity,0.370514758,89.8,43.9,40.9,15.59427,97.99498747,5797,3 Same,63.13,Butte Capay/Lake/Nord,245.5,notTot15,notHighPov
Butte,Chapmantown/Chico,15,8,3.149,1.328,-57.82788186725944,0.030893553829458353,7.1,36.5,1.84,86.02,2.21,23.84,1.63,61.31,4.4,36.2,3.09,SIERRA CASCADE,95029,Communuity,-0.0714008711923518,81.85370044933653,50.78856875269655,35.054888507718694,88.45826091645708,98.53257560007692,95029,2 Decrease,63.5,Butte Chapmantown/Chico,432,notTot15,notHighPov
Butte,Durham,2,2,7.503,7.461,-0.5597760895641719,0.4978456505885265,7.4,40.81,8,89.4,9.49,9.99,5.09,41.31,25.85,22.95,19.42,SIERRA CASCADE,5297,Communuity,0.29440887,88.2,48.1,40.4,33.75496,99.28057554,5297,3 Same,59.19,Butte Durham,111,notTot15,notHighPov
Butte,Magalia/Paradise/Stirling City,11,8,5.052,4.409,-12.727632620744258,0.3888544725836032,8,23.36,2.11,83.76,3.52,14.71,2.28,57.03,9.94,29.51,6.61,SIERRA CASCADE,40934,Communuity,-0.16197533695087213,83.67869985830849,29.764696829041874,22.470286314555135,46.60673187130503,98.46701864651293,40934,3 Same,76.64,Butte Magalia/Paradise/Stirling City,236,notTot15,notHighPov
Butte,Oroville/Palermo/Thermalito,12,17,5.263,7.705,46.39939198175946,0.16371759312471057,10,11,1.25,71.36,3.05,23.86,2.55,55.08,7,26.27,4.4,SIERRA CASCADE,48180,Communuity,-0.5439771836735783,81.41487754254877,50.663154836031545,9.922586135325862,42.2063102218763,99.03609603114114,48180,3 Same,89,Butte Oroville/Palermo/Thermalito,102,notTot15,notHighPov
