"Region","Cause","Sex","Age","RRadj"
"California","Acute resp infections",1,"0",0.821153763578483
"California","Acute resp infections",2,"0",0.664694765204458
"California","All Causes",1,"0",0.857288902688226
"California","All Causes",1,"15",0.848915788434416
"California","All Causes",1,"30",0.830557790975926
"California","All Causes",1,"45",0.850502309729777
"California","All Causes",1,"5",0.931065612322515
"California","All Causes",1,"60",0.881657689414683
"California","All Causes",1,"70",0.932566706773808
"California","All Causes",1,"80",0.991395878948608
"California","All Causes",1,"NA",1
"California","All Causes",2,"0",0.920093824946571
"California","All Causes",2,"15",0.913578471987875
"California","All Causes",2,"30",0.856902899281086
"California","All Causes",2,"45",0.85422251317207
"California","All Causes",2,"5",0.921509071419793
"California","All Causes",2,"60",0.882198894415498
"California","All Causes",2,"70",0.958201075316257
"California","All Causes",2,"80",0.996393815219965
"California","All Causes",2,"NA",1
"California","Breast Cancer",1,"0",1
"California","Breast Cancer",1,"15",1
"California","Breast Cancer",1,"30",1
"California","Breast Cancer",1,"45",1
"California","Breast Cancer",1,"5",1
"California","Breast Cancer",1,"60",0.962272331943222
"California","Breast Cancer",1,"70",1.02081222028764
"California","Breast Cancer",1,"80",0.800899665571866
"California","Breast Cancer",1,"NA",1
"California","Breast Cancer",2,"0",1
"California","Breast Cancer",2,"15",0.778190814090407
"California","Breast Cancer",2,"30",0.886365039199753
"California","Breast Cancer",2,"45",0.988685111343413
"California","Breast Cancer",2,"5",1
"California","Breast Cancer",2,"60",0.961247155205274
"California","Breast Cancer",2,"70",1.0374192743654
"California","Breast Cancer",2,"80",1.03281244142035
"California","Breast Cancer",2,"NA",1
"California","Colon Cancer",1,"0",1
"California","Colon Cancer",1,"15",1
"California","Colon Cancer",1,"30",0.936435499083094
"California","Colon Cancer",1,"45",0.947856274544869
"California","Colon Cancer",1,"5",1
"California","Colon Cancer",1,"60",0.995069736586613
"California","Colon Cancer",1,"70",0.939673112116586
"California","Colon Cancer",1,"80",1.02939924676628
"California","Colon Cancer",1,"NA",1
"California","Colon Cancer",2,"0",1
"California","Colon Cancer",2,"15",1
"California","Colon Cancer",2,"30",0.944754946062968
"California","Colon Cancer",2,"45",0.94312732618104
"California","Colon Cancer",2,"5",1
"California","Colon Cancer",2,"60",0.96632335125397
"California","Colon Cancer",2,"70",1.03351856772429
"California","Colon Cancer",2,"80",0.961809403653562
"California","Colon Cancer",2,"NA",1
"California","Dementia",1,"0",1
"California","Dementia",1,"15",1
"California","Dementia",1,"30",1
"California","Dementia",1,"45",0.937604997623967
"California","Dementia",1,"5",1
"California","Dementia",1,"60",0.917604058887923
"California","Dementia",1,"70",1.00665420501221
"California","Dementia",1,"80",1.02392802381783
"California","Dementia",1,"NA",1
"California","Dementia",2,"0",1
"California","Dementia",2,"15",1
"California","Dementia",2,"30",1
"California","Dementia",2,"45",0.790414681111866
"California","Dementia",2,"5",1
"California","Dementia",2,"60",0.951916516363647
"California","Dementia",2,"70",1.06097443960635
"California","Dementia",2,"80",1.01572728832527
"California","Dementia",2,"NA",1
"California","Depression",1,"0",1
"California","Depression",1,"15",1
"California","Depression",1,"30",1
"California","Depression",1,"45",1
"California","Depression",1,"5",1
"California","Depression",1,"60",1
"California","Depression",1,"70",1
"California","Depression",1,"80",1.12125953180061
"California","Depression",1,"NA",1
"California","Depression",2,"0",1
"California","Depression",2,"15",1
"California","Depression",2,"30",1
"California","Depression",2,"45",1
"California","Depression",2,"5",1
"California","Depression",2,"60",1
"California","Depression",2,"70",1
"California","Depression",2,"80",1.23946471345766
"California","Depression",2,"NA",1
"California","Diabetes",1,"0",1
"California","Diabetes",1,"15",0.895349921623174
"California","Diabetes",1,"30",0.693241559950659
"California","Diabetes",1,"45",0.789927228537525
"California","Diabetes",1,"5",1
